dataset,task,model,test_macro_f1_mean,test_macro_f1_std,test_weighted_f1_mean,test_weighted_f1_std,test_accuracy_mean,test_accuracy_std,seconds_fit_and_evaluate_mean,seconds_fit_and_evaluate_std
NF-BoT-IoT-v2,binary,edge_mlp,0.9700498368184013,0.04016565034835064,0.9781853847774942,0.029063493896520853,0.9786890645586298,0.02818291922407566,73.01862061733361,45.56987607770534
NF-BoT-IoT-v2,binary,sage,0.9893275839091862,0.003831532480426079,0.9920482564587911,0.0028552481941485713,0.9920372200263504,0.0028596790711378117,172.98554739966676,30.22067925833082
NF-BoT-IoT-v2,binary,sage_edge,0.9905097424009597,0.0005812338059699325,0.9929285784843039,0.00042877977693670476,0.9929183135704874,0.0004252553140208742,173.9151891913334,128.01676239960292
NF-BoT-IoT-v2,multiclass,edge_mlp,0.934323100732649,0.0016791911687955882,0.9384403632776998,0.0016610260999190862,0.938389328063241,0.0017791707094892892,79.08892212133348,4.1175596650704716
NF-BoT-IoT-v2,multiclass,sage,0.9559013594172043,0.012244433545791635,0.9639143573504402,0.0033896820846018544,0.9638504611330698,0.003470505459313649,181.70864311366677,62.250585112728174
NF-BoT-IoT-v2,multiclass,sage_edge,0.970736917022558,0.006321919527880666,0.9740718673812698,0.005040902113254245,0.9741271409749671,0.005013686209997834,199.24655337733324,73.2643812571996
NF-CSE-CIC-IDS2018-v2,binary,edge_mlp,0.8226208847586599,0.000918157364999853,0.8871737645447043,0.0006448221840326146,0.8754042883692547,0.000744549624467901,52.11616201166786,9.156396972827299
NF-CSE-CIC-IDS2018-v2,binary,sage,0.8483927788925665,0.001577226947508452,0.905774494271279,0.001017310389021724,0.897190091814374,0.0011339713833309285,120.74799703166597,23.40655409871112
NF-CSE-CIC-IDS2018-v2,binary,sage_edge,0.8505406292805514,0.000712082740991628,0.9072964929587322,0.0004858768232464562,0.8989653546364872,0.0005600426224580133,156.1817363880024,18.492130522200956
NF-CSE-CIC-IDS2018-v2,multiclass,edge_mlp,0.7620841273404909,0.0018669246144583434,0.879460016353272,0.0014553989503434633,0.8812571079859088,0.0018286455930053263,24.110627876332728,5.245736556331303
NF-CSE-CIC-IDS2018-v2,multiclass,sage,0.8330787980081906,0.0007115728598180754,0.8972301420253074,0.003861711359211033,0.9005908296579844,0.002234082862502579,91.21676299033425,53.97331216325988
NF-CSE-CIC-IDS2018-v2,multiclass,sage_edge,0.8355449270325795,0.002155726899395462,0.8962110605873516,0.001903487139483619,0.9009292391334499,0.0023190896843715662,78.71046885899948,15.286290831322813
NF-ToN-IoT-v2,binary,edge_mlp,0.9550026944300584,0.0012797692753732748,0.9789825319223819,0.0006293049427439474,0.9786290304801964,0.0006700836053306642,81.51998162166637,17.465166513891017
NF-ToN-IoT-v2,binary,sage,0.9733775860683246,0.001736570870288786,0.9876625747760647,0.0008254890247255477,0.9875486655820249,0.0008533769110125106,421.76736103166695,54.08844456586039
NF-ToN-IoT-v2,binary,sage_edge,0.972182461107375,0.0020524293741459895,0.9871015605400943,0.0009338027800991969,0.9869754809239737,0.0009255671832699998,245.61325872900125,122.65923060275603
NF-ToN-IoT-v2,multiclass,edge_mlp,0.8670858305223751,0.001522802115543422,0.891361563055899,0.0014574132783761926,0.8918532823639899,0.001541027484287894,71.21462477300035,5.235488380015289
NF-ToN-IoT-v2,multiclass,sage,0.9067439451011959,0.004742477517719386,0.9086587864862522,0.004677880108796656,0.9088945031591292,0.004761847898343499,1482.3487434813342,566.9131528237035
NF-ToN-IoT-v2,multiclass,sage_edge,0.9084896811815644,0.0017065381104025095,0.9119829605230695,0.0020933055991879893,0.9123159746564199,0.0021076342997933166,907.0144723246667,66.35795622215014
NF-UNSW-NB15-v2,binary,edge_mlp,0.996896902928288,0.00016689160144153024,0.9971897076042061,0.00015118764496090445,0.9971911086451435,0.00015115646369386778,24.052770538666056,3.745585363655173
NF-UNSW-NB15-v2,binary,sage,0.9979054195787705,9.621476913065978e-05,0.9981032009658019,8.722436367509052e-05,0.9981042873160638,8.727022500338257e-05,126.34457920666682,19.56645055746766
NF-UNSW-NB15-v2,binary,sage_edge,0.9979566305422786,7.970952580832939e-05,0.9981495206867724,7.220567992934772e-05,0.9981505242107941,7.218732876034451e-05,201.26952052866545,55.125819494496916
NF-UNSW-NB15-v2,multiclass,edge_mlp,0.4942964082748664,0.002472526090626612,0.7830640852724834,0.0036287150129378607,0.7583197512455063,0.004059855416316668,42.08904579999944,1.1362430443794393
NF-UNSW-NB15-v2,multiclass,sage,0.5816146269267445,0.003801159375808998,0.8404504625787231,0.001078518659624677,0.817433621158003,0.001428254235514891,234.1705395826666,36.44602939282302
NF-UNSW-NB15-v2,multiclass,sage_edge,0.582336395644463,0.0033120411507347367,0.8392466276116721,0.0021671521158312173,0.816335494908162,0.003314273547403482,233.89028991,27.90621878513274
