model,test_macro_f1_mean,test_macro_f1_sd,test_weighted_f1_mean,test_weighted_f1_sd,test_accuracy_mean,test_accuracy_sd,seconds_fit_and_evaluate_mean,seconds_fit_and_evaluate_sd
edge_mlp,0.42483799037837544,0.04927200826435203,0.6793772595495043,0.05181170655188111,0.6600666666666667,0.04180314980157995,15.776815279000024,2.9013320525899178
sage,0.5366551449784706,0.1361977560954351,0.6902817586318113,0.22182842364612554,0.6923666666666667,0.200398411504017,53.49270000133333,14.715248063805488
sage_edge,0.6283332662323792,0.006239169416780471,0.8334195499815203,0.004563778595394713,0.8257333333333334,0.005750072463311491,52.80161650666658,3.265228729714537
random_forest,0.8497843338962654,0.0005077315072886074,0.9637341500155419,0.0010058434305860323,0.9635666666666666,0.0010016652800877816,1.1196700703333893,0.0017882487742477261
